id,truth_rule,裁定,理由
002227_2026-04-21,财务类,B,扣除后营收2.65亿<3亿且净利为负
000698_2025-10-01,合规/治理类,A,收到行政处罚事先告知书·年报虚假记载
000677_2026-04-30,合规/治理类,?,摘录仅公告头与董事会保证语·无适用情形
000608_2025-04-19,财务类,B,净利等为负且扣除后营收<3亿
300209_2024-09-30,重整/破产,C,法院裁定受理重整
603007_2024-04-30,合规/治理类,A,控股股东非经营性资金占用+内控被出否定意见
603869_2024-04-30,合规/治理类,A,2023年度内控被出否定意见
300462_2025-07-05,合规/治理类,A,收到行政处罚事先告知书·虚假记载
002717_2026-06-03,合规/治理类,B,净利为负且扣除后营收<3亿 +另:A
000070_2024-05-22,合规/治理类,A,处罚事先告知书·年报虚假记载
601010_2026-04-29,合规/治理类,A,2025年度内控被出否定意见
300460_2025-12-10,合规/治理类,A,处罚事先告知书·年报虚假记载
300205_2025-04-29,合规/治理类,B,2024年度财务报表被出无法表示意见 +另:A
002124_2024-04-30,重整/破产,B,连续三年扣非前后孰低为负+持续经营不确定
000793_2025-03-17,合规/治理类,A,收到行政处罚事先告知书
000610_2026-04-24,财务类,B,期末归母净资产为负
688201_2026-04-28,未归类,A,2025年度内控被出否定意见
600476_2026-04-28,财务类,B,期末净资产为负
600818_2026-04-28,未归类,A,财务报告内部控制被出否定意见
000595_2025-04-26,财务类,B,净利等为负且扣除后营收<3亿
002742_2023-04-29,合规/治理类,A,内控重大缺陷·涉资金占用与违规担保
300225_2025-07-02,合规/治理类,B,2024年度财务报表被出无法表示意见 +另:A
002547_2026-04-29,合规/治理类,B,期末归母净资产为负
002748_2024-05-16,合规/治理类,A,行政处罚决定书·年报虚假记载
300152_2025-04-29,合规/治理类,A,财务报告内部控制被出否定意见
600165_2024-04-03,未归类,?,子公司临时停产·类型不属A/B/C
600337_2026-04-30,未归类,B,三年扣非前后孰低为负+持续经营不确定
300068_2026-05-06,合规/治理类,A,公司及子公司银行账户被冻结
603272_2026-04-28,财务类,B,净利等为负且扣除后营收1.27亿<3亿
000620_2023-04-29,未归类,B,2022年末净资产为负
002197_2024-09-05,合规/治理类,A,内控被出否定意见+处罚事先告知书虚假记载
000504_2025-04-22,财务类,B,业绩预告·净利为负且扣除后营收<3亿
002630_2025-04-29,合规/治理类,A,2024年度内控被出无法表示意见
002883_2026-04-30,财务类,B,净利等为负且扣除后营收2.51亿<3亿
002598_2026-05-09,合规/治理类,A,处罚决定书认定年报虚假记载+内控重大缺陷
000639_2026-04-29,合规/治理类,A,财务报告内部控制被出否定意见
300125_2024-08-19,合规/治理类,A,未履行程序违规担保1600万元
601718_2026-04-30,合规/治理类,A,事先告知书·年报财务指标虚假记载
002932_2026-04-21,财务类,B,净利等为负且扣除后营收2.41亿<3亿
688282_2024-04-30,财务类,B,扣非前后孰低为负且扣除后营收<1亿
688189_2026-06-10,合规/治理类,A,行政处罚事先告知书·虚假记载
300091_2025-12-31,重整/破产,C,法院裁定受理重整申请
300899_2025-04-29,财务类,B,净利等为负且扣除后营收0.82亿<1亿
600759_2026-04-28,合规/治理类,A,财务报告内部控制被出否定意见
300301_2025-01-10,合规/治理类,A,处罚事先告知书·年报虚假记载
600543_2023-04-28,财务类,B,扣非前后孰低为负且扣除后营收<1亿
688089_2026-07-25,未归类,?,生产经营受严重影响·类型不属A/B/C
002305_2025-04-29,财务类,B,期末归母净资产-17.53亿
002743_2026-09-05,重整/破产,A,主要银行账号被冻结
600079_2025-12-13,合规/治理类,A,事先告知书·年报财务指标虚假记载
002762_2025-04-23,财务类,B,孰低者扣非净利为负且扣除后营收<3亿
603922_2026-04-29,合规/治理类,A,内控被出否定意见
600360_2024-04-30,未归类,A,2023年度内控被出否定意见
002021_2023-11-25,重整/破产,C,法院裁定受理重整
002713_2025-04-29,财务类,B,2024年末合并口径净资产为负
600130_2025-04-29,财务类,B,扣非净利为负且扣除后营收<3亿
300326_2025-04-30,合规/治理类,A,引文点明财务报告内控被出无法表示/否定意见
000615_2023-04-29,未归类,B,2022年末净资产为负 +另:A
600745_2026-04-30,合规/治理类,B,2025年度财务会计报告被出无法表示意见 +另:A
002693_2025-04-29,财务类,B,净利为负且扣除后营收1.69亿<3亿
